song_id,genre
The-Mojo-Men/She%27s-My-Baby,Psychedelic Rock
Funkadelic/Get-Off-Your-Ass-and-Jam,Funk
Funkadelic/Get-Off-Your-Ass-and-Jam,Soul
Funkadelic/Get-Off-Your-Ass-and-Jam,R&B
Funkadelic/Get-Off-Your-Ass-and-Jam,P.Funk
Tony-Joe-White/Stud-Spider,Blues
Tony-Joe-White/Stud-Spider,Blues Rock
Tony-Joe-White/Stud-Spider,Rock
The-Jackson-5/The-Boogie-Man,Funk
The-Jackson-5/The-Boogie-Man,Pop Soul
The-Jackson-5/The-Boogie-Man,Pop
The-Jackson-5/The-Boogie-Man,Bubblegum Pop
Bootsy%27s-Rubber-Band/Bootzilla,Funk
Bootsy%27s-Rubber-Band/Bootzilla,P.Funk
Bootsy%27s-Rubber-Band/Bootzilla,R&B
Bootsy%27s-Rubber-Band/Bootzilla,Soul
Bootsy%27s-Rubber-Band/Bootzilla,Electro
Bootsy%27s-Rubber-Band/Bootzilla,Disco
Bootsy%27s-Rubber-Band/Bootzilla,Jazz-Funk
Bootsy%27s-Rubber-Band/Bootzilla,Electronic
King-Tee/Bass-(Original),Hip Hop
"Luke/Face-Down,-Ass-Up",Southern Rap
"Luke/Face-Down,-Ass-Up",Hip Hop
"Luke/Face-Down,-Ass-Up",Party Rap
"Luke/Face-Down,-Ass-Up",Rap
"Luke/Face-Down,-Ass-Up",Dirty Rap
"Luke/Face-Down,-Ass-Up",Club/Dance
"Luke/Face-Down,-Ass-Up",Electronic
"Luke/Face-Down,-Ass-Up",Bass Music
Funkadelic/A-Joyful-Process,Funk
Funkadelic/A-Joyful-Process,Psychedelic Rock
Funkadelic/A-Joyful-Process,P.Funk
Funkadelic/A-Joyful-Process,Soul
Funkadelic/A-Joyful-Process,Rock
Funkadelic/A-Joyful-Process,P-Funk
KC-%26-the-Sunshine-Band/That%27s-the-Way-(I-Like-It),Hip Hop
KC-%26-the-Sunshine-Band/That%27s-the-Way-(I-Like-It),German
KC-%26-the-Sunshine-Band/That%27s-the-Way-(I-Like-It),Trap
KC-%26-the-Sunshine-Band/That%27s-the-Way-(I-Like-It),Rap
Screamin%27-Jay-Hawkins/I-Put-a-Spell-on-You,Blues
Screamin%27-Jay-Hawkins/I-Put-a-Spell-on-You,Aln-Sh
Screamin%27-Jay-Hawkins/I-Put-a-Spell-on-You,Singer-Songwriter
Screamin%27-Jay-Hawkins/I-Put-a-Spell-on-You,R&B
Eric-B.-%26-Rakim/My-Melody,Dance
Eric-B.-%26-Rakim/My-Melody,Club
Eric-B.-%26-Rakim/My-Melody,Hip Hop
Eric-B.-%26-Rakim/My-Melody,Rap
Rob-Base-%26-DJ-E-Z-Rock/Joy-and-Pain,Dance
Rob-Base-%26-DJ-E-Z-Rock/Joy-and-Pain,Hip Hop
Rob-Base-%26-DJ-E-Z-Rock/Joy-and-Pain,Rap
Martin-Lawrence/Wash-Yo%27-Ass,Black Comedy
Martin-Lawrence/Wash-Yo%27-Ass,Ribaldry
Martin-Lawrence/Wash-Yo%27-Ass,Physical Comedy
"Louis-and-Bebe-Barron/Robby,-the-Cook,-and-60-Gallons-of-Booze",Abstract Electronic
"Louis-and-Bebe-Barron/Robby,-the-Cook,-and-60-Gallons-of-Booze",Soundtrack
"Louis-and-Bebe-Barron/Robby,-the-Cook,-and-60-Gallons-of-Booze",Electronic
"Louis-and-Bebe-Barron/Robby,-the-Cook,-and-60-Gallons-of-Booze",Score
Richard-Pryor/Wino-Dealing-With-Dracula,Comedy
Richard-Pryor/Wino-Dealing-With-Dracula,Standup Comedy
Richard-Pryor/Wino-Dealing-With-Dracula,Non-Music
2-Live-Crew/Pop-That-Pussy,Hip Hop
2-Live-Crew/Pop-That-Pussy,Miami Bass
The-Notorious-B.I.G./Unbelievable,Death By Murder
The-Notorious-B.I.G./Unbelievable,Boom Bap
The-Notorious-B.I.G./Unbelievable,East Coast Hip Hop
The-Notorious-B.I.G./Unbelievable,Gangsta Rap
Junior-M.A.F.I.A./Get-Money,Hip Hop
Junior-M.A.F.I.A./Get-Money,Gangsta Rap
Richard-Pryor/The-Back-Down,Comedy
Lyn-Collins/Think-(About-It),Rock And Indie
Lyn-Collins/Think-(About-It),Soul
Kool-Moe-Dee/Go-See-the-Doctor,Hip Hop
Public-Enemy/Terminator-X-Speaks-With-His-Hands,Hip Hop
Public-Enemy/Terminator-X-Speaks-With-His-Hands,Golden Age
Public-Enemy/Terminator-X-Speaks-With-His-Hands,Political Rap
Public-Enemy/Terminator-X-Speaks-With-His-Hands,East Coast Rap
Public-Enemy/Terminator-X-Speaks-With-His-Hands,Hip Hop Rap
Public-Enemy/Terminator-X-Speaks-With-His-Hands,Rap
Public-Enemy/Terminator-X-Speaks-With-His-Hands,Conscious Hip Hop
Public-Enemy/Terminator-X-Speaks-With-His-Hands,Hardcore Rap
Public-Enemy/Terminator-X-Speaks-With-His-Hands,Rock
The-Jimmy-Castor-Bunch/The-Return-of-Leroy-Pt.-1,R&B
Bob-James/Take-Me-to-the-Mardi-Gras,Jazz
