song_id,genre
Black-Sabbath/Iron-Man,hard rock
Black-Sabbath/Iron-Man,doom metal
Black-Sabbath/Iron-Man,british
Black-Sabbath/Iron-Man,classic rock
The-Mojo-Men/She%27s-My-Baby,garage rock
The-Mojo-Men/She%27s-My-Baby,rock
The-Mojo-Men/She%27s-My-Baby,psychedelic rock
Funkadelic/Get-Off-Your-Ass-and-Jam,funk
Funkadelic/Get-Off-Your-Ass-and-Jam,soul
Funkadelic/Get-Off-Your-Ass-and-Jam,r&b
Funkadelic/Get-Off-Your-Ass-and-Jam,p.funk
Tony-Joe-White/Stud-Spider,blues
Tony-Joe-White/Stud-Spider,blues rock
Tony-Joe-White/Stud-Spider,rock
The-Jackson-5/The-Boogie-Man,funk
The-Jackson-5/The-Boogie-Man,pop soul
The-Jackson-5/The-Boogie-Man,pop
The-Jackson-5/The-Boogie-Man,bubblegum pop
Bootsy%27s-Rubber-Band/Bootzilla,funk
Bootsy%27s-Rubber-Band/Bootzilla,p.funk
Bootsy%27s-Rubber-Band/Bootzilla,r&b
Bootsy%27s-Rubber-Band/Bootzilla,soul
Bootsy%27s-Rubber-Band/Bootzilla,electro
Bootsy%27s-Rubber-Band/Bootzilla,disco
Bootsy%27s-Rubber-Band/Bootzilla,jazz-funk
Bootsy%27s-Rubber-Band/Bootzilla,electronic
King-Tee/Bass-(Original),hip hop
"Luke/Face-Down,-Ass-Up",southern rap
"Luke/Face-Down,-Ass-Up",hip hop
"Luke/Face-Down,-Ass-Up",party rap
"Luke/Face-Down,-Ass-Up",rap
"Luke/Face-Down,-Ass-Up",dirty rap
"Luke/Face-Down,-Ass-Up",club/dance
"Luke/Face-Down,-Ass-Up",electronic
"Luke/Face-Down,-Ass-Up",bass music
Funkadelic/A-Joyful-Process,funk
Funkadelic/A-Joyful-Process,psychedelic rock
Funkadelic/A-Joyful-Process,p.funk
Funkadelic/A-Joyful-Process,soul
Funkadelic/A-Joyful-Process,rock
Funkadelic/A-Joyful-Process,p-funk
KC-%26-the-Sunshine-Band/That%27s-the-Way-(I-Like-It),hip hop
KC-%26-the-Sunshine-Band/That%27s-the-Way-(I-Like-It),german
KC-%26-the-Sunshine-Band/That%27s-the-Way-(I-Like-It),trap
KC-%26-the-Sunshine-Band/That%27s-the-Way-(I-Like-It),rap
Screamin%27-Jay-Hawkins/I-Put-a-Spell-on-You,blues
Screamin%27-Jay-Hawkins/I-Put-a-Spell-on-You,aln-sh
Screamin%27-Jay-Hawkins/I-Put-a-Spell-on-You,singer-songwriter
Screamin%27-Jay-Hawkins/I-Put-a-Spell-on-You,r&b
Eric-B.-%26-Rakim/My-Melody,dance
Eric-B.-%26-Rakim/My-Melody,club
Eric-B.-%26-Rakim/My-Melody,hip hop
Eric-B.-%26-Rakim/My-Melody,rap
Rob-Base-%26-DJ-E-Z-Rock/Joy-and-Pain,dance
Rob-Base-%26-DJ-E-Z-Rock/Joy-and-Pain,hip hop
Rob-Base-%26-DJ-E-Z-Rock/Joy-and-Pain,rap
Martin-Lawrence/Wash-Yo%27-Ass,observational comedy
Martin-Lawrence/Wash-Yo%27-Ass,black comedy
Martin-Lawrence/Wash-Yo%27-Ass,ribaldry
Martin-Lawrence/Wash-Yo%27-Ass,physical comedy
"Louis-and-Bebe-Barron/Robby,-the-Cook,-and-60-Gallons-of-Booze",abstract electronic
"Louis-and-Bebe-Barron/Robby,-the-Cook,-and-60-Gallons-of-Booze",soundtrack
"Louis-and-Bebe-Barron/Robby,-the-Cook,-and-60-Gallons-of-Booze",electronic
"Louis-and-Bebe-Barron/Robby,-the-Cook,-and-60-Gallons-of-Booze",score
Richard-Pryor/Wino-Dealing-With-Dracula,comedy
Richard-Pryor/Wino-Dealing-With-Dracula,standup comedy
Richard-Pryor/Wino-Dealing-With-Dracula,non-music
2-Live-Crew/Pop-That-Pussy,hip hop
2-Live-Crew/Pop-That-Pussy,miami bass
The-Notorious-B.I.G./Unbelievable,death by murder
The-Notorious-B.I.G./Unbelievable,boom bap
The-Notorious-B.I.G./Unbelievable,east coast hip hop
The-Notorious-B.I.G./Unbelievable,gangsta rap
Junior-M.A.F.I.A./Get-Money,hip hop
Junior-M.A.F.I.A./Get-Money,gangsta rap
Richard-Pryor/The-Back-Down,comedy
Lyn-Collins/Think-(About-It),rock and indie
Lyn-Collins/Think-(About-It),soul
Kool-Moe-Dee/Go-See-the-Doctor,hip hop
112/Only-You,?
Public-Enemy/Terminator-X-Speaks-With-His-Hands,hip hop
Public-Enemy/Terminator-X-Speaks-With-His-Hands,golden age
Public-Enemy/Terminator-X-Speaks-With-His-Hands,political rap
Public-Enemy/Terminator-X-Speaks-With-His-Hands,east coast rap
Public-Enemy/Terminator-X-Speaks-With-His-Hands,hip hop rap
Public-Enemy/Terminator-X-Speaks-With-His-Hands,rap
Public-Enemy/Terminator-X-Speaks-With-His-Hands,conscious hip hop
Public-Enemy/Terminator-X-Speaks-With-His-Hands,hardcore rap
Public-Enemy/Terminator-X-Speaks-With-His-Hands,rock
The-Jimmy-Castor-Bunch/The-Return-of-Leroy-Pt.-1,r&b
Bob-James/Take-Me-to-the-Mardi-Gras,jazz
Bob-James/Take-Me-to-the-Mardi-Gras,jazz fusion
Bob-James/Take-Me-to-the-Mardi-Gras,jazz-funk
Bob-James/Take-Me-to-the-Mardi-Gras,contemporary jazz
Doug-E.-Fresh/La-Di-Da-Di,hip hop
Rob-Base-%26-DJ-E-Z-Rock/It-Takes-Two,hip hop
Rob-Base-%26-DJ-E-Z-Rock/It-Takes-Two,east coast hip hop
Billy-Stewart/Summertime,rhythm & blues
Billy-Stewart/Summertime,jazz pop
Billy-Stewart/Summertime,2008 universal fire victim
Billy-Stewart/Summertime,chicago soul
Maze-Featuring-Frankie-Beverly/Joy-and-Pain,hip hop rnb and dance hall
Maze-Featuring-Frankie-Beverly/Joy-and-Pain,r&b
Sylvia-Striplin/You-Can%27t-Turn-Me-Away,soul
2-Live-Crew/C%27mon-Babe,hip hop
2-Live-Crew/C%27mon-Babe,miami bass
Zapp/More-Bounce-to-the-Ounce,funk
Zapp/More-Bounce-to-the-Ounce,synth funk
Zapp/More-Bounce-to-the-Ounce,hip hop rnb and dance hall
Kool-%26-the-Gang/Funky-Stuff,funk
Kool-%26-the-Gang/Funky-Stuff,contemporary r&b
Kool-%26-the-Gang/Funky-Stuff,disco
Kool-%26-the-Gang/Funky-Stuff,electronic
Olympic-Runners/Put-the-Music-Where-Your-Mouth-Is,funk
Olympic-Runners/Put-the-Music-Where-Your-Mouth-Is,soul
Afrika-Bambaataa/Planet-Rock,afro-funk
Afrika-Bambaataa/Planet-Rock,electro-funk
Afrika-Bambaataa/Planet-Rock,1990s
Afrika-Bambaataa/Planet-Rock,breakbeat
Uncle-Louie/I-Like-Funky-Music-(12-Remix),funk
Uncle-Louie/I-Like-Funky-Music-(12-Remix),soul
Kurtis-Blow/Christmas-Rappin%27,hip hop
Kurtis-Blow/Christmas-Rappin%27,electro
Kurtis-Blow/Christmas-Rappin%27,disco rap
Kurtis-Blow/Christmas-Rappin%27,east coast hip hop
James-Brown/Soul-Pride,blues
James-Brown/Soul-Pride,christmas music
James-Brown/Soul-Pride,disco
James-Brown/Soul-Pride,film soundtrack
James-Brown/Funky-Drummer,blues
James-Brown/Funky-Drummer,christmas music
James-Brown/Funky-Drummer,disco
James-Brown/Funky-Drummer,film soundtrack
KC-%26-the-Sunshine-Band/I-Get-Lifted,pop soul
KC-%26-the-Sunshine-Band/I-Get-Lifted,trap
KC-%26-the-Sunshine-Band/I-Get-Lifted,hip hop
KC-%26-the-Sunshine-Band/I-Get-Lifted,rap
KC-%26-the-Sunshine-Band/I-Get-Lifted,soul
KC-%26-the-Sunshine-Band/I-Get-Lifted,disco
KC-%26-the-Sunshine-Band/I-Get-Lifted,german
KC-%26-the-Sunshine-Band/I-Get-Lifted,smooth soul
The-5-Royales/Think,r b
"Hank-Williams/Hey,-Good-Lookin%27",blues
"Hank-Williams/Hey,-Good-Lookin%27",classic country
"Hank-Williams/Hey,-Good-Lookin%27",country blues
"Hank-Williams/Hey,-Good-Lookin%27",country
Tony!-Toni!-Ton%C3%A9!/Feels-Good,funk
Tony!-Toni!-Ton%C3%A9!/Feels-Good,pop soul
Tony!-Toni!-Ton%C3%A9!/Feels-Good,quiet storm
Tony!-Toni!-Ton%C3%A9!/Feels-Good,contemporary r&b
The-Meters/Just-Kissed-My-Baby,funk
The-Meters/Just-Kissed-My-Baby,soul
The-Meters/Just-Kissed-My-Baby,contemporary r&b
The-Meters/Just-Kissed-My-Baby,r&b
Michael-Jackson/Don%27t-Stop-%27Til-You-Get-Enough,funk
Michael-Jackson/Don%27t-Stop-%27Til-You-Get-Enough,pop/rock
Michael-Jackson/Don%27t-Stop-%27Til-You-Get-Enough,&rb
Michael-Jackson/Don%27t-Stop-%27Til-You-Get-Enough,américain
Michael-Jackson/Don%27t-Stop-%27Til-You-Get-Enough,disco
Michael-Jackson/Don%27t-Stop-%27Til-You-Get-Enough,club/dance
Michael-Jackson/Don%27t-Stop-%27Til-You-Get-Enough,urban
Michael-Jackson/Don%27t-Stop-%27Til-You-Get-Enough,synth-pop
Michael-Jackson/Don%27t-Stop-%27Til-You-Get-Enough,hip hop
Michael-Jackson/Don%27t-Stop-%27Til-You-Get-Enough,vocal
Michael-Jackson/Don%27t-Stop-%27Til-You-Get-Enough,new jack swing
Michael-Jackson/Don%27t-Stop-%27Til-You-Get-Enough,pop
Michael-Jackson/Don%27t-Stop-%27Til-You-Get-Enough,hi-nrg
Michael-Jackson/Don%27t-Stop-%27Til-You-Get-Enough,pop soul
Michael-Jackson/Don%27t-Stop-%27Til-You-Get-Enough,contemporary pop/rock
Michael-Jackson/Don%27t-Stop-%27Til-You-Get-Enough,r b
Michael-Jackson/Don%27t-Stop-%27Til-You-Get-Enough,rhythm and blues
Michael-Jackson/Don%27t-Stop-%27Til-You-Get-Enough,dance-pop
Michael-Jackson/Don%27t-Stop-%27Til-You-Get-Enough,rock
Michael-Jackson/Don%27t-Stop-%27Til-You-Get-Enough,quiet storm
Michael-Jackson/Don%27t-Stop-%27Til-You-Get-Enough,electronic
Michael-Jackson/Don%27t-Stop-%27Til-You-Get-Enough,contemporary r&b
Michael-Jackson/Don%27t-Stop-%27Til-You-Get-Enough,r&b
Michael-Jackson/Don%27t-Stop-%27Til-You-Get-Enough,ambient
Michael-Jackson/Don%27t-Stop-%27Til-You-Get-Enough,italo-disco
Michael-Jackson/Don%27t-Stop-%27Til-You-Get-Enough,soul
Michael-Jackson/Don%27t-Stop-%27Til-You-Get-Enough,jazz
Michael-Jackson/Don%27t-Stop-%27Til-You-Get-Enough,pop rock
Brass-Construction/Get-Up-to-Get-Down,funk
Public-Enemy/M.P.E.,hip hop
Public-Enemy/M.P.E.,golden age
Public-Enemy/M.P.E.,political rap
Public-Enemy/M.P.E.,east coast rap
Public-Enemy/M.P.E.,east coast hip hop
Public-Enemy/M.P.E.,hip hop rap
Public-Enemy/M.P.E.,rap
Public-Enemy/M.P.E.,conscious hip hop
Public-Enemy/M.P.E.,hardcore rap
Public-Enemy/M.P.E.,rock
R.-Kelly/Your-Body%27s-Callin%27,gospel
R.-Kelly/Your-Body%27s-Callin%27,hip hop soul
R.-Kelly/Your-Body%27s-Callin%27,contemporary r&b
R.-Kelly/Your-Body%27s-Callin%27,criminal
Jungle-Brothers/I%27ll-House-You,hip hop
Jungle-Brothers/I%27ll-House-You,rock and indie
Jungle-Brothers/I%27ll-House-You,east coast hip hop
Public-Enemy/Timebomb,hip hop
Public-Enemy/Timebomb,golden age
Public-Enemy/Timebomb,political rap
Public-Enemy/Timebomb,east coast rap
Public-Enemy/Timebomb,east coast hip hop
Public-Enemy/Timebomb,hip hop rap
Public-Enemy/Timebomb,rap
Public-Enemy/Timebomb,conscious hip hop
Public-Enemy/Timebomb,hardcore rap
Public-Enemy/Timebomb,rock
The-Notorious-B.I.G./The-What,death by murder
The-Notorious-B.I.G./The-What,hardcore hip hop
The-Notorious-B.I.G./The-What,boom bap
The-Notorious-B.I.G./The-What,east coast hip hop
The-Notorious-B.I.G./The-What,gangsta rap
The-Notorious-B.I.G./The-What,film soundtrack
Fat-Boys/Stick-%27Em,hip hop
Fat-Boys/Stick-%27Em,beatboxing
Quincy-Jones/Snow-Creatures,classic pop and rock
Quincy-Jones/Snow-Creatures,big band
Quincy-Jones/Snow-Creatures,american
Quincy-Jones/Snow-Creatures,2008 universal fire victim
King-Tee/Payback%27s-a-Mutha,hip hop
King-Tee/Payback%27s-a-Mutha,west coast hip hop
Force-M.D.%27s/Itchin%27-for-a-Scratch,classic pop and rock
Force-M.D.%27s/Itchin%27-for-a-Scratch,r&b
LL-Cool-J/I-Can%27t-Live-Without-My-Radio,hip hop
LL-Cool-J/I-Can%27t-Live-Without-My-Radio,rap
LL-Cool-J/I-Can%27t-Live-Without-My-Radio,east coast hip hop
Lovebug-Starski/Starski-Live-at-the-Disco-Fever,hip hop
Eric-B.-%26-Rakim/I-Know-You-Got-Soul,hip hop
Eric-B.-%26-Rakim/I-Know-You-Got-Soul,2008 universal fire victim
Commodores/The-Assembly-Line,funk
Commodores/The-Assembly-Line,pop soul
Commodores/The-Assembly-Line,adult contemporary
Commodores/The-Assembly-Line,disco
Billy-Squier/The-Big-Beat,aor
Billy-Squier/The-Big-Beat,pop rock
Billy-Squier/The-Big-Beat,rock
Billy-Squier/The-Big-Beat,hard rock
Trouble-Funk/Let%27s-Get-Small,funk
Trouble-Funk/Let%27s-Get-Small,go-go
Trouble-Funk/Let%27s-Get-Small,r&b
Trouble-Funk/Let%27s-Get-Small,rap
Trouble-Funk/Drop-the-Bomb,funk
Trouble-Funk/Drop-the-Bomb,go-go
Trouble-Funk/Drop-the-Bomb,r&b
Trouble-Funk/Drop-the-Bomb,rap
The-Notorious-B.I.G./Warning,hip hop
The-Notorious-B.I.G./Warning,rap
The-Notorious-B.I.G./Warning,east coast hip hop
The-Notorious-B.I.G./Warning,gangsta rap
Kendrick-Lamar/Euphoria,hip hop
Kendrick-Lamar/Euphoria,hardcore hip hop
Kendrick-Lamar/Heart-Pt.-6,funk
Kendrick-Lamar/Heart-Pt.-6,hardcore hip hop
Kendrick-Lamar/Heart-Pt.-6,hip hop
Kendrick-Lamar/Heart-Pt.-6,boom bap
Kendrick-Lamar/Heart-Pt.-6,contemporary r&b
Kendrick-Lamar/Heart-Pt.-6,soul
Kendrick-Lamar/Heart-Pt.-6,west coast hip hop
Kendrick-Lamar/Heart-Pt.-6,conscious hip hop
Sabrina-Carpenter/Espresso,electropop
Sabrina-Carpenter/Espresso,alternative pop
Sabrina-Carpenter/Espresso,pop
Sabrina-Carpenter/Espresso,nepo baby
Kendrick-Lamar/Luther,funk
Kendrick-Lamar/Luther,hardcore hip hop
Kendrick-Lamar/Luther,hip hop
Kendrick-Lamar/Luther,contemporary r&b
Kendrick-Lamar/Luther,pop rap
Kendrick-Lamar/Luther,soul
Kendrick-Lamar/Luther,west coast hip hop
Kendrick-Lamar/Luther,trap soul
Kendrick-Lamar/Luther,conscious hip hop
SZA/30-for-30,alternative hip hop
SZA/30-for-30,hardcore hip hop
SZA/30-for-30,hip hop
SZA/30-for-30,contemporary r&b
SZA/30-for-30,alternative r&b
SZA/30-for-30,conscious hip hop
SZA/30-for-30,american
SZA/30-for-30,electronic
JPEGMAFIA/Exmilitary,experimental hip hop
"Tyler,-the-Creator/Noid",hip hop
"Tyler,-the-Creator/Noid",horrorcore
"Tyler,-the-Creator/Noid",_fix whosampled dupe url
"Tyler,-the-Creator/Noid",hardcore hip hop
Metro-Boomin/BBL-DRIZZY-BPM-150.mp3,hip hop
Kendrick-Lamar/Hey-Now,alternative hip hop
Kendrick-Lamar/Hey-Now,conscious hip hop
Kendrick-Lamar/Hey-Now,hip hop
Kendrick-Lamar/Hey-Now,hardcore hip hop
JPEGMAFIA/Either-on-or-Off-the-Drugs,drumless hip hop
SWV/Use-Your-Heart,new jack swing
SWV/Use-Your-Heart,contemporary r&b
SWV/Use-Your-Heart,r&b
Cheryl-Lynn/If-This-World-Were-Mine,soul
Cheryl-Lynn/If-This-World-Were-Mine,quiet storm
Cheryl-Lynn/If-This-World-Were-Mine,r&b
"Teddy-Pendergrass/You%27re-My-Latest,-My-Greatest-Inspiration",classic pop and rock
"Teddy-Pendergrass/You%27re-My-Latest,-My-Greatest-Inspiration",soul
"Teddy-Pendergrass/You%27re-My-Latest,-My-Greatest-Inspiration",quiet storm
"Teddy-Pendergrass/You%27re-My-Latest,-My-Greatest-Inspiration",r&b
Kanye-West/Get-Em-High,alternative rap
Kanye-West/Get-Em-High,reflective
Kanye-West/Get-Em-High,humorous
Kanye-West/Get-Em-High,hip hop
Kanye-West/Get-Em-High,electronic; ambient; hiphop; jazz
Kanye-West/Get-Em-High,chill
Kanye-West/Get-Em-High,east coast rap
Kanye-West/Get-Em-High,playful
Kanye-West/Get-Em-High,hip hop rap
Kanye-West/Get-Em-High,pop-rap
Kanye-West/Get-Em-High,rap
Kanye-West/Get-Em-High,passionate
Kanye-West/Get-Em-High,midwest rap
