"whosampled_id","mood_party","danceability_danceable","mood_relaxed","mood_sad","timbre_bright","tonal_atonal_atonal","cascade_size","temporal_influence"
"Luke/Face-Down,-Ass-Up","0.00467856135219","0.999999880791","0.80881524086","0.33266890049","0.147687762976","8.04578803582E-7","68","0.2279166666666667"
"Funkadelic/A-Joyful-Process","0.867784798145","0.895990610123","0.150421246886","0.288054168224","0.677184343338","0.581975281239","65","0.15000000000000002"
"KC-%26-the-Sunshine-Band/That%27s-the-Way-(I-Like-It)","0.790384829044","0.99876844883","0.638040721416","0.0823105797172","0.5","0.902128279209","76","0.15000000000000002"
"Screamin%27-Jay-Hawkins/I-Put-a-Spell-on-You","0.0164983607829","0.418350785971","0.856687963009","0.295428544283","0.673658490181","0.934532821178","36","0.15000000000000002"
"Eric-B.-%26-Rakim/My-Melody","1.57784197654E-5","3.00000096379E-14","0.808817088604","0.0931260734797","0.0113990716636","2.53684925156E-6","90","0.16275000000000003"
"Rob-Base-%26-DJ-E-Z-Rock/Joy-and-Pain","0.765587866306","0.99969047308","0.854781448841","0.20181196928","0.448039859533","0.35910615325","68","0.34125000000000005"
"Martin-Lawrence/Wash-Yo%27-Ass","","","","","","","30","0.15000000000000002"
"Louis-and-Bebe-Barron/Robby,-the-Cook,-and-60-Gallons-of-Booze","0.0123859560117","0.0123978927732","0.99604088068","0.75633585453","0.12908783555","0.170590355992","31","0.15000000000000002"
"Richard-Pryor/Wino-Dealing-With-Dracula","0.0583167001605","0.243968814611","0.710197389126","0.331859409809","0.213076323271","0.174938723445","66","0.15000000000000002"
"2-Live-Crew/Pop-That-Pussy","0.976179301739","0.999994635582","0.120353549719","0.0796030238271","0.191700682044","3.18494919327E-8","66","0.5325000000000001"
"Wolfgang-Amadeus-Mozart/Misericordias-Domini,-K.222","","","","","","","",""
"Ladi-Luv/Good-to-the-Last-Drop","","","","","","","61","0.23426304481503346"
"The-Notorious-B.I.G./Unbelievable","1.5701580196E-5","3.00000096379E-14","0.808817088604","0.0709105208516","0.117232359946","6.98796520737E-6","43","0.405"
"Junior-M.A.F.I.A./Get-Money","0.615818738937","0.784436225891","0.250711292028","0.249407291412","0.938339114189","0.212047457695","33","0.24817500000000003"
"Richard-Pryor/The-Back-Down","","","","","","","66","0.15000000000000002"
"Lyn-Collins/Think-(About-It)","0.295955181122","0.640822350979","0.109793074429","0.301846444607","0.992365181446","0.461924016476","239","0.2775"
"Gang-Busters/The-Case-of-the-Ape-Bandit","","","","","","","33","0.15000000000000002"
"Kool-Moe-Dee/Go-See-the-Doctor","0.975662469864","0.993616044521","0.162573486567","0.463530242443","0.315564095974","0.127876356244","128","0.15000000000000002"
"112/Only-You","","","","","","","32","0.34125000000000005"
"Public-Enemy/Terminator-X-Speaks-With-His-Hands","1.57784197654E-5","3.00000096379E-14","0.808817088604","0.0787164494395","0.0115738390014","7.06547893969E-7","189","0.21375000000000002"
"J.-Bodewalt-Lampe/Mysterioso-Pizzicato","","","","","","","16","0.15000000000000002"
"Hoyt-Curtin/Meet-the-Flintstones","0.726105153561","0.193547129631","0.243867129087","0.0904405862093","0.85897320509","0.781601727009","65","0.15000000000000002"
"The-Jimmy-Castor-Bunch/The-Return-of-Leroy-Pt.-1","","","","","","","172","0.15000000000000002"
"Bob-James/Take-Me-to-the-Mardi-Gras","0.207172185183","0.295303165913","0.924770772457","0.5","0.999990403652","0.307998418808","265","0.15000000000000002"
"Doug-E.-Fresh/La-Di-Da-Di","0.770403206348","0.204414516687","0.369321018457","0.313486099243","0.111688584089","0.0421699397266","277","0.405"
"Rob-Base-%26-DJ-E-Z-Rock/It-Takes-Two","0.907368540764","0.999999880791","0.301974982023","0.120073251426","0.980239570141","0.143702685833","78","0.17035887096774197"
"Billy-Stewart/Summertime","","","","","","","68","0.15000000000000002"
"Anquette/Shake-It-(Do-the-61st)","0.982777297497","0.999999880791","0.140175715089","0.0671672895551","0.0365614332259","1.74272307696E-9","",""
"The-Magic-Disco-Machine/Scratchin%27","0.398829877377","0.428903669119","0.625837445259","0.443455755711","0.999994575977","0.901687562466","492","0.15000000000000002"
"Maze-Featuring-Frankie-Beverly/Joy-and-Pain","0.212020128965","0.889617562294","0.5","0.377797663212","0.911747455597","0.849518597126","69","0.15000000000000002"
"Richard-%26-Willie/Emotional-Niggers","","","","","","","68","0.15000000000000002"
"Sylvia-Striplin/You-Can%27t-Turn-Me-Away","0.12344352901","0.188773259521","0.406494796276","0.719839990139","0.99999833107","0.788617372513","43","0.15000000000000002"
"2-Live-Crew/C%27mon-Babe","0.569763183594","0.690574109554","0.0915017426014","0.19682072103","0.129285156727","0.0976804941893","64","0.16416666666666668"
"Zapp/More-Bounce-to-the-Ounce","0.703315138817","0.928422868252","0.198971107602","0.120064079762","0.98927795887","0.367250651121","130","0.15000000000000002"
"Kool-%26-the-Gang/Funky-Stuff","0.919188261032","0.88572961092","0.3330706954","0.126662626863","0.80664151907","0.949899733067","172","0.15000000000000002"
"Olympic-Runners/Put-the-Music-Where-Your-Mouth-Is","0.956352829933","0.956900656223","0.814269125462","0.237680822611","0.937448143959","0.172060132027","81","0.15000000000000002"
"Afrika-Bambaataa/Planet-Rock","0.972743332386","0.998692810535","0.5","0.383326381445","0.0870936885476","0.00283445091918","147","0.15000000000000002"
"Uncle-Louie/I-Like-Funky-Music-(12-Remix)","0.511153042316","0.613545536995","0.606224775314","0.35135743022","0.619772851467","0.0618148595095","",""
"Chicago-Gangsters/Gangster-Boogie","0.271209180355","0.286156952381","0.0224182065576","0.364889830351","0.854999244213","0.979760766029","143","0.15000000000000002"
"Kurtis-Blow/Christmas-Rappin%27","0.756059229374","0.5","0.128552004695","0.417992502451","0.952053844929","0.0288811158389","188","0.15000000000000002"
"James-Brown/Soul-Pride","0.866167724133","0.65348225832","0.0906703472137","0.2702216506","0.882701933384","0.845611691475","70","0.15000000000000002"
"James-Brown/Funky-Drummer","0.761165261269","0.939919233322","0.0297161880881","0.209125652909","0.472110450268","0.253184825182","",""
"KC-%26-the-Sunshine-Band/I-Get-Lifted","0.461705893278","0.73766875267","0.568822920322","0.404410809278","0.667453467846","0.982931137085","34","0.15000000000000002"
"The-5-Royales/Think","0.0851893648505","0.188874348998","0.5","0.382079839706","0.769790112972","0.535885155201","240","0.15000000000000002"
"Hank-Williams/Hey,-Good-Lookin%27","","","","","","","",""
"Tony!-Toni!-Ton%C3%A9!/Feels-Good","0.909699857235","0.954261898994","0.0372825711966","0.14397059381","0.60542100668","0.318850576878","33","0.15000000000000002"
"The-Meters/Just-Kissed-My-Baby","0.806516468525","0.844292163849","0.469125539064","0.308489173651","0.438558787107","0.299128711224","192","0.15000000000000002"
"Michael-Jackson/Don%27t-Stop-%27Til-You-Get-Enough","0.169439285994","0.784681379795","0.786307573318","0.334656000137","0.95211404562","0.780774712563","65","0.15000000000000002"
"Brass-Construction/Get-Up-to-Get-Down","0.562410950661","0.480295926332","0.0966445952654","0.298202633858","0.996790766716","0.264571994543","128","0.15000000000000002"
"Public-Enemy/M.P.E.","1.57784197654E-5","3.00000096379E-14","0.808817088604","0.105185620487","0.0241257995367","2.76554987977E-6","189","0.2775"
"R.-Kelly/Your-Body%27s-Callin%27","0.268835783005","0.830251157284","0.882143735886","0.818627178669","0.954291582108","0.304624348879","44","0.15000000000000002"
"Jungle-Brothers/I%27ll-House-You","0.945995151997","0.986692607403","0.11177881062","0.12890137732","0.0444295108318","0.00576406670734","68","0.16416666666666668"
"Public-Enemy/Timebomb","1.57784197654E-5","3.00000096379E-14","0.808817088604","0.0378557443619","0.0368585176766","0.00353639060631","189","0.21375000000000002"
"The-Notorious-B.I.G./The-What","","","","","","","43","0.15000000000000002"
"Fat-Boys/Stick-%27Em","0.721285462379","0.923831641674","0.0844193100929","0.297219872475","0.448483198881","0.0161541942507","134","0.18754626623376625"
"Quincy-Jones/Snow-Creatures","0.270428866148","0.360113173723","0.887081444263","0.586303293705","0.6296697855","0.923090040684","44","0.15000000000000002"
"Run-DMC/Here-We-Go-(Live-at-the-Funhouse)","","","","","","","",""
"King-Tee/Payback%27s-a-Mutha","0.488354206085","0.997451305389","0.060454506427","0.0644031390548","0.425404191017","0.0248594600707","123","0.15000000000000002"
"Original-Concept/Pump-That-Bass","0.985767483711","0.999949872494","0.104853831232","0.0579177774489","0.0983196273446","1.68815349753E-5","176","0.15000000000000002"
"Run-DMC/Hit-It-Run","","","","","","","160","0.20023267191142194"
"Audio-Fidelity-Records/Two-at-a-Time","","","","","","","192","0.15000000000000002"
"Force-M.D.%27s/Itchin%27-for-a-Scratch","","","","","","","",""
"LL-Cool-J/I-Can%27t-Live-Without-My-Radio","0.949189722538","0.993036150932","0.180118784308","0.0831746608019","0.787011504173","4.06165554523E-6","130","0.15980769230769232"
"Sugar-Bear/Don%27t-Scandalize-Mine","0.640679717064","0.590253293514","0.0585586093366","0.171473249793","0.891502022743","0.134740352631","64","0.1775462962962963"
"Lovebug-Starski/Starski-Live-at-the-Disco-Fever","0.906146168709","0.996329188347","0.0247363429517","0.0269745718688","0.669573307037","0.619818866253","",""
"Eric-B.-%26-Rakim/I-Know-You-Got-Soul","0.923855960369","0.99952507019","0.183793827891","0.158654004335","0.163147836924","0.00327996537089","164","0.15000000000000002"
"Herman-Kelly-%26-Life/Dance-to-the-Drummer%27s-Beat","0.785218179226","0.920139312744","0.555501520634","0.389309942722","0.999999582767","0.603167355061","64","0.15000000000000002"
"Commodores/The-Assembly-Line","0.922382414341","0.605396151543","0.646398842335","0.187976390123","0.798291325569","0.0215127766132","245","0.15000000000000002"
"Private-Willie-Duckworth/Sound-Off-(The-Duckworth-Chant)","","","","","","","",""
