song_id,genre
Metro-Boomin/Creepin%27,trap
Metro-Boomin/Creepin%27,hip hop
Metro-Boomin/Creepin%27,contemporary r&b
Metro-Boomin/Creepin%27,alternative r&b
Metro-Boomin/Creepin%27,2010s
Metro-Boomin/Creepin%27,pop rap
Metro-Boomin/Creepin%27,gangsta rap
Metro-Boomin/Creepin%27,mumble rap
Metro-Boomin/Creepin%27,2020s
Coi-Leray/Players,pop rap
Coi-Leray/Players,trap
The-Weeknd/Out-of-Time,alternative r&b
The-Weeknd/Out-of-Time,2010s
The-Weeknd/Out-of-Time,contemporary r&b
The-Weeknd/Out-of-Time,2020s
Beyonc%C3%A9/BREAK-MY-SOUL,2010s
Beyonc%C3%A9/BREAK-MY-SOUL,adult contemporary
Beyonc%C3%A9/BREAK-MY-SOUL,2000s
Beyonc%C3%A9/BREAK-MY-SOUL,2020s
JID/Surround-Sound,trap
JID/Surround-Sound,hip hop
JID/Surround-Sound,southern hip hop
JID/Surround-Sound,pop rap
JID/Surround-Sound,rap
JID/Surround-Sound,queer
JID/Surround-Sound,rapper
JID/Surround-Sound,gangsta rap
JID/Surround-Sound,mumble rap
Drake/Jimmy-Cooks,hardcore hip hop
Drake/Jimmy-Cooks,hip hop
Drake/Jimmy-Cooks,contemporary r&b
Drake/Jimmy-Cooks,alternative r&b
Drake/Jimmy-Cooks,pop rap
Drake/Jimmy-Cooks,gangsta rap
Drake/Jimmy-Cooks,mumble rap
Central-Cee/Doja,grime
Central-Cee/Doja,2020s
Central-Cee/Doja,trap
Central-Cee/Doja,hip hop
Drake/Rich-Flex,hardcore hip hop
Drake/Rich-Flex,hip hop
Drake/Rich-Flex,contemporary r&b
Drake/Rich-Flex,alternative r&b
Drake/Rich-Flex,pop rap
Drake/Rich-Flex,gangsta rap
Drake/Rich-Flex,mumble rap
Benny-the-Butcher/Johnny-P%27s-Caddy,hip hop
Benny-the-Butcher/Johnny-P%27s-Caddy,pro trump
James-Hype/Ferrari,électronique
James-Hype/Ferrari,pop
Young-Thug/Some-More,hip hop
Young-Thug/Some-More,trap
Young-Thug/Some-More,english
Young-Thug/Some-More,rap
Busta-Rhymes/LUXURY-LIFE,trap
Busta-Rhymes/LUXURY-LIFE,hardcore hip hop
Busta-Rhymes/LUXURY-LIFE,hip hop
Busta-Rhymes/LUXURY-LIFE,east coast hip hop
Busta-Rhymes/LUXURY-LIFE,2008 universal fire victim
Busta-Rhymes/LUXURY-LIFE,pop rap
Grandmaster-Flash/The-Message,hip hop
Big-Freedia/Explode,hip hop
Aretha-Franklin/One-Step-Ahead,deep soul
Aretha-Franklin/One-Step-Ahead,jazz
Aretha-Franklin/One-Step-Ahead,gospel
Aretha-Franklin/One-Step-Ahead,aln-sh
Robin-S./Show-Me-Love-(Stonebridge-Mix),hip hop rnb and dance hall
Robin-S./Show-Me-Love-(Stonebridge-Mix),vocal house
Robin-S./Show-Me-Love-(Stonebridge-Mix),nuno
Playa-Fly/Just-Awaken-Shaken,hip hop
Playa-Fly/Just-Awaken-Shaken,memphis rap
Playa-Fly/Just-Awaken-Shaken,rap
Playa-Fly/Just-Awaken-Shaken,southern hip hop
DJ-Earworm/United-State-of-Pop-2023-(Cut-the-Flowers),mashup
Brook-Benton/You-Were-Gone,country soul
Brook-Benton/You-Were-Gone,rhythm and blues
Brook-Benton/You-Were-Gone,pop
Brook-Benton/You-Were-Gone,rhythm & blues
Eve/Let-Me-Blow-Ya-Mind,hip hop
Eve/Let-Me-Blow-Ya-Mind,contemporary r&b
Eve/Let-Me-Blow-Ya-Mind,2008 universal fire victim
Eve/Let-Me-Blow-Ya-Mind,r&b
Eve/Let-Me-Blow-Ya-Mind,dance-pop
Eve/Let-Me-Blow-Ya-Mind,electropop
DJ-Earworm/United-State-of-Pop-2022-(I-Want-Music),mashup
Dexter-Wansel/Theme-From-the-Planets,soul
Dexter-Wansel/Theme-From-the-Planets,r&b
P.-Diddy/I-Need-a-Girl-(Part-2),domestic abuser
P.-Diddy/I-Need-a-Girl-(Part-2),rnb
P.-Diddy/I-Need-a-Girl-(Part-2),hip hop
P.-Diddy/I-Need-a-Girl-(Part-2),east coast hip hop
P.-Diddy/I-Need-a-Girl-(Part-2),r&b
P.-Diddy/I-Need-a-Girl-(Part-2),hip hop rnb and dance hall
P.-Diddy/I-Need-a-Girl-(Part-2),hip-hop
P.-Diddy/I-Need-a-Girl-(Part-2),soul
P.-Diddy/I-Need-a-Girl-(Part-2),gospel
P.-Diddy/I-Need-a-Girl-(Part-2),american
Xaev/The-Life-of-an-Aspiring-Script-Kiddie,berdlycore
Xaev/The-Life-of-an-Aspiring-Script-Kiddie,dariacore
Xaev/The-Life-of-an-Aspiring-Script-Kiddie,electronic
Xaev/The-Life-of-an-Aspiring-Script-Kiddie,hyperflip
XG/GALZ-XYPHER,kpop
XG/GALZ-XYPHER,k-pop
XG/GALZ-XYPHER,contemporary r&b
XG/GALZ-XYPHER,girl group
The-Whole-Darn-Family/Seven-Minutes-of-Funk,rare groove nuggets/american
Grandmaster-Flash/Superappin%27,hip hop
T.I./24%27s,gangsta rap
T.I./24%27s,hip hop
T.I./24%27s,rap
T.I./24%27s,southern hip hop
BackWhen/Break-the-Pack-Down,hip hop
BackWhen/Break-the-Pack-Down,instrumental hip hop
BackWhen/Break-the-Pack-Down,lo-fi hip hop
BackWhen/Break-the-Pack-Down,lo-fi
Four-Tops/Ain%27t-No-Woman-(Like-the-One-I%27ve-Got),funk
Four-Tops/Ain%27t-No-Woman-(Like-the-One-I%27ve-Got),pop soul
Four-Tops/Ain%27t-No-Woman-(Like-the-One-I%27ve-Got),motown
Four-Tops/Ain%27t-No-Woman-(Like-the-One-I%27ve-Got),2008 universal fire victim
Michael-Jackson/Baby-Be-Mine,dance-pop
Michael-Jackson/Baby-Be-Mine,boogie
Michael-Jackson/Baby-Be-Mine,contemporary r&b
Michael-Jackson/Baby-Be-Mine,american
Megan-Thee-Stallion/Savage,hip hop
Megan-Thee-Stallion/Savage,english
Megan-Thee-Stallion/Savage,pop rap
Megan-Thee-Stallion/Savage,rap
Ghais-Guevara/Johnny-With-Da-P%27s,jazz
Ghais-Guevara/Johnny-With-Da-P%27s,free jazz
Ghais-Guevara/Johnny-With-Da-P%27s,special purpose artist
Ghais-Guevara/Johnny-With-Da-P%27s,electronic
Ghais-Guevara/Johnny-With-Da-P%27s,special purpose
Ghais-Guevara/Johnny-With-Da-P%27s,hard bop
Ghais-Guevara/Johnny-With-Da-P%27s,avant-garde jazz
Ghais-Guevara/Johnny-With-Da-P%27s,french electro
Ghais-Guevara/Johnny-With-Da-P%27s,electro house
Ghais-Guevara/Johnny-With-Da-P%27s,unknown
Ghais-Guevara/Johnny-With-Da-P%27s,electropop
Ghais-Guevara/Johnny-With-Da-P%27s,fixme or cleanup
Beyonc%C3%A9/ENERGY,dance-pop
21-Savage/No-Heart,hip hop
21-Savage/No-Heart,hip-hop
21-Savage/No-Heart,trap
